Id,SalePrice
1461,130220.64
1462,154608.5
1463,182706.16
1464,198885.0
1465,194877.12
1466,180696.64
1467,173469.2
1468,175261.0
1469,175618.28
1470,129997.0
1471,203687.16
1472,100197.0
1473,104168.0
1474,144898.0
1475,118562.2
1476,365623.54
1477,252755.62
1478,308693.6
1479,295276.98
1480,445927.78
1481,303567.16
1482,208313.5
1483,187851.12
1484,177503.86
1485,178621.84
1486,202232.98
1487,300566.44
1488,225033.68
1489,202998.24
1490,222873.48
1491,190182.3
1492,103496.0
1493,179625.54
1494,290417.14
1495,274958.14
1496,223961.86
1497,179945.6
1498,158517.44
1499,155239.48
1500,164468.32
1501,171682.0
1502,169408.9
1503,290823.24
1504,232292.7
1505,211944.22
1506,175069.2
1507,238432.76
1508,186230.86
1509,157504.0
1510,149562.0
1511,153749.6
1512,168794.16
1513,145033.08
1514,154208.0
1515,186541.94
1516,148809.64
1517,147521.5
1518,132936.52
1519,228931.70666666664
1520,138384.0
1521,146871.0
1522,163849.0
1523,117372.0
1524,122079.5
1525,129371.16
1526,127749.16
1527,109636.42
1528,128492.5
1529,148353.0
1530,162130.0
1531,135365.0
1532,108304.0
1533,140750.56
1534,116665.1
1535,147561.0
1536,123088.16
1537,100108.3
1538,158327.68
1539,198597.58
1540,142879.52
1541,135935.0
1542,143930.0
1543,172967.5
1544,96192.6
1545,104291.6
1546,127036.0
1547,141669.8
1548,124596.18
1549,116052.22
1550,138667.0
1551,124815.02
1552,148794.0
1553,159070.08
1554,116627.5
1555,171523.8
1556,102933.98
1557,124387.0
1558,99729.28
1559,120827.92
1560,137755.54
1561,162325.8
1562,130875.0
1563,126797.2
1564,158869.62
1565,159274.0
1566,209203.46
1567,94958.82
1568,215438.06
1569,154689.64
1570,138098.0
1571,128118.38
1572,143709.1
1573,238654.82
1574,131197.84
1575,206896.0
1576,245124.82
1577,200087.96
1578,135576.78
1579,142960.5
1580,187609.0
1581,143164.7
1582,125270.0
1583,293456.64
1584,238845.48
1585,141456.0
1586,90222.5
1587,108670.76
1588,148780.34
1589,104159.16
1590,127221.6
1591,114611.18
1592,120964.2
1593,115326.0
1594,140893.18
1595,131572.46
1596,207357.48
1597,176094.68
1598,195847.0
1599,187654.34
1600,182191.92
1601,81288.44
1602,115509.28
1603,104289.68
1604,281042.26
1605,255788.22
1606,163966.0
1607,170247.78
1608,225195.36
1609,190993.56
1610,173649.82
1611,144875.0
1612,200409.86
1613,176164.58
1614,127802.2
1615,92068.0
1616,88151.0
1617,89212.0
1618,125302.5
1619,141996.5
1620,191823.86
1621,147252.0
1622,142536.78
1623,269853.88
1624,229674.9
1625,126049.48
1626,167324.0
1627,178720.64
1628,264853.84
1629,176182.74
1630,328774.52
1631,206791.9
1632,228099.8
1633,180849.48
1634,189142.0
1635,181599.7
1636,165400.0
1637,186976.76
1638,199843.56
1639,178309.28
1640,229218.0
1641,161110.0
1642,234905.04
1643,220237.44
1644,232700.62
1645,189355.08
1646,161807.0
1647,160675.0
1648,149214.6
1649,139649.1
1650,126399.06
1651,122929.5
1652,99854.0
1653,104844.0
1654,149842.0
1655,142809.74
1656,145119.0
1657,149992.0
1658,157578.0
1659,122412.0
1660,161431.14
1661,416547.08
1662,338666.1
1663,355426.44
1664,403718.04
1665,307893.8
1666,325730.86
1667,364790.66
1668,335267.58
1669,282420.12
1670,322325.84
1671,259341.46
1672,393676.2
1673,294476.48
1674,250677.16
1675,200191.0
1676,201664.56
1677,211534.1
1678,422960.74
1679,378399.44
1680,320641.94
1681,261211.82
1682,300461.92
1683,190353.6
1684,181526.92
1685,177468.28
1686,170319.4
1687,175585.5
1688,191258.48
1689,193893.48
1690,187842.0
1691,187700.7
1692,261746.58
1693,180197.54
1694,185084.0
1695,171560.7
1696,254011.24
1697,172728.8
1698,316663.38
1699,330712.4
1700,252708.4
1701,262344.6
1702,254299.96
1703,255055.28
1704,271447.96
1705,236570.9
1706,367906.3
